id;nombre;nombre_tipo_articulo;id_familia;nombre_familia;id_marca;nombre_marca;moneda;nombre_moneda;tipo_igv;nombre_tipo_igv;nombre_unidad_medida;valor_compra_base;valor_venta_base;codigo_sunat;descripcion;especificacion_tecnica;stock_minimo;anio_garantia;stock_actual_empresa;formula;editar;eliminar
13181;FUENTE EVGA 850 BQ, ATX, 850 W, 80 PLUS BRONZE, SEMI-MODULAR;PRODUCTO;7;FUENTE;62;EVGA;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;167.01;43210000;;;-100000;1;0.000;;;
13182;MODEM NEXXT TRINITY 3G/4G (ARNPR3G5U1);PRODUCTO;30;MODEM;133;NEXXT;12;SOLES;14;GRAVADO;UNIDAD;11.80;186.99;43210000;;;-100000;1;0.000;;;
13183;TARJ VIDEO ASUS GTX 1080 TI 11GB GDDR5X352 BUT HDMI/DP/DVI;PRODUCTO;1;TARJETAS TODAS;1;ASUS;13;DÓLARES;14;GRAVADO;UND;11.80;1185.00;43210000;;;-100000;1;0.000;;;
13184;DISCO SOLIDO 250GB WESTER DIGITAL M.2 BLUE;PRODUCTO;26;DISCOS;109;WESTERN DIGITAL;13;DÓLARES;14;GRAVADO;UND;11.80;55.00;43210000;;;-100000;1;-4.000;;;
13185;ANTIVIRUS NOD32 3PC INTERNET SECURITY 2018;PRODUCTO;36;ANTIVIRUS;95;ESET;13;DÓLARES;14;GRAVADO;UND;11.80;70.00;43210000;;;-100000;1;0.000;;;
13186;"MALETIN TARGUS 15.4"" TG TRADITIONAL NOTEPAC";PRODUCTO;33;MALETIN;93;TARGUS;12;SOLES;14;GRAVADO;UNIDAD;11.80;67.00;43210000;;;-100000;1;0.000;;;
13187;MOUSE GAMING ANTRYX XTREME XM-500A DPI 3200 (AGM-XM500KU);PRODUCTO;34;MOUSE;209;ANTRYX;12;SOLES;14;GRAVADO;UND;11.80;51.00;43210000;;;-100000;1;0.000;;;
13188;SISTEMA DE REFRIGERACI¢N L¡QUIDA COOLER MASTER ML240L RGB, INTEL / AMD (MLW-D24M-A20PC-R1);PRODUCTO;39;COOLER;157;COOLER MASTER;12;SOLES;14;GRAVADO;UNIDAD;11.80;248.89;43210000;;;-100000;1;0.000;;;
13189;PLACA PARED SIMPLE 2 PTO BLANCOSATRA;PRODUCTO;63;PLACA;32;SATRA;12;SOLES;14;GRAVADO;UND;11.80;10.00;43210000;;;-100000;1;0.000;;;
13190;CAJA 2 X 4 X 1.89 BLANCA;PRODUCTO;198;CAJA;32;SATRA;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;5.00;43210000;;;-100000;1;0.000;;;
13191;CANALETA 60X40 BLANCO SATRA;PRODUCTO;95;CANALETA;32;SATRA;12;SOLES;14;GRAVADO;UND;11.80;11.00;43210000;;;-100000;1;0.000;;;
13192;UNION 60X40 BLANCO SATRA;PRODUCTO;205;ZOCALO;32;SATRA;12;SOLES;14;GRAVADO;UND;11.80;3.20;43210000;;;-100000;1;0.000;;;
13193;UPS APC AMART 300VA LCD 230V SMT3000I;PRODUCTO;46;UPS;83;APC;13;DÓLARES;14;GRAVADO;UND;11.80;849.00;43210000;;;-100000;1;0.000;;;
13194;"LAPTOP LENOVO THINKPAD V330 14IKB I5 7200U 2.5GHZ 14"" 4GB 1TB";PRODUCTO;82;LAPTOP;137;LENOVO;13;DÓLARES;14;GRAVADO;UND;11.80;530.00;43210000;;;-100000;1;0.000;;;
13195;SERVIDOR LENOVO THINKSERVER TS150 INTEL XEON E3-1245V6   8GB 2TB 3Y;PRODUCTO;116;SERVIDOR;137;LENOVO;12;SOLES;14;GRAVADO;UNIDAD;11.80;3219.00;43210000;;;-100000;1;0.000;;;
13196;MEMORIA LENOVO DDR4 - 4 GB - DIMM 288-PIN - 2133 MHZ / PC4-17000;PRODUCTO;19;MEMORIAS;137;LENOVO;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;185.00;43210000;;;-100000;1;0.000;;;
13197;ANTIVIRUS MCAFEE INTERNET SECURITY, SUSCRIPCI¢N 1 A¤O, PC, MAC, TABLET, SMARTPHONE.;PRODUCTO;36;ANTIVIRUS;140;MCAFEE;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;0.00;43210000;;;-100000;1;2.000;;;
13198;FOCO DICRO-LED ECOTREND, 7W, 560 L£MENES, LUZ C LIDA, 3000K, 120§, GU10, 100 - 240VAC.;PRODUCTO;69;FOCO;168;ECOTREND;12;SOLES;14;GRAVADO;UNIDAD;11.80;0.00;43210000;;;-100000;1;0.000;;;
13199;PARL BAVARO MIC S7058BT DE AUDIO RITMIC;PRODUCTO;10;PARLANTE;56;MICRONICS;12;SOLES;14;GRAVADO;UNIDAD;11.80;228.00;43210000;;;-100000;1;0.000;;;
